Method,nDCG,Delta,%,MRR,P,R,F1,MAP,rule,stat,threshold,alpha_low,alpha_high,high_conf_qids,low_conf_qids,used_dim,explained_variance
"adaptive(stat=gap12,thr=0.0295,lo=0.15,hi=0.45)",0.6441859042495005,0.1435898150641871,28.683766846415025,0.9044444444444444,0.5586666666666666,0.4776270760131291,0.514978167823311,0.40770339294513813,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.15,0.45,8,7,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.1139,lo=0.25,hi=0.45)",0.6441263321089654,0.14353024292365202,28.67186660551781,0.9044444444444444,0.56,0.4805818989679521,0.5172603207666248,0.40863071857410965,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.25,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.20,hi=0.45)",0.6440611222682205,0.14346503308290715,28.658840167206833,0.9044444444444444,0.5599999999999999,0.4789769606963471,0.5163292510551576,0.4083297200168816,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.2,0.45,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.20,hi=0.45)",0.6440611222682205,0.14346503308290715,28.658840167206833,0.9044444444444444,0.5599999999999999,0.4789769606963471,0.5163292510551576,0.4083297200168816,binary_high_conf_low_alpha,std,0.030915258166369343,0.2,0.45,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.15,hi=0.40)",0.6439738928873094,0.14337780370199604,28.641415064854744,0.9044444444444444,0.5586666666666666,0.4776585968957138,0.5149964890657952,0.40848555553028015,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.15,0.4,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.20,hi=0.45)",0.643698452897078,0.14310236371176466,28.58639266332547,0.9044444444444444,0.5573333333333333,0.47677237515842824,0.5139148443070688,0.40707801790121045,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.2,0.45,8,7,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.25,hi=0.40)",0.6436434772766462,0.14304738809133277,28.575410631779565,0.9044444444444444,0.5559999999999999,0.4784301839830904,0.5143066906078344,0.4087355259107063,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.25,0.4,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.15,hi=0.45)",0.6435897899883952,0.14299370080308182,28.564685959851285,0.9044444444444444,0.5586666666666666,0.4800330910507231,0.5163734464641517,0.40872317940648467,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.15,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.25,hi=0.40)",0.6435687491699903,0.1429726599846769,28.560482807078124,0.9044444444444444,0.5559999999999999,0.47754463678175374,0.5137945834200521,0.4079769891453484,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.25,0.4,8,7,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.20,hi=0.45)",0.6431603108936783,0.1425642217083649,28.478892422107936,0.9044444444444444,0.5573333333333333,0.47677237515842824,0.5139148443070688,0.4077042639152694,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.2,0.45,11,4,512,0.7728558778762817
