qid,docno,score,rank,orig_score,kg_score,alpha
14,4705,0.09495668858289716,33,0.20254547894001,0.02323082834482193,0.4
14,3139,0.09456573603674769,34,0.2329715341329574,0.002295203972607851,0.4
14,4661,0.09356952756643293,35,0.2193442583084106,0.009719707071781158,0.4
14,4655,0.09347587525844574,36,0.2190997004508972,0.009726658463478088,0.4
14,3727,0.0930041231215,37,0.2026014924049377,0.019939210265874863,0.4
14,5406,0.09262694157660006,38,0.2363030314445495,-0.003157118335366249,0.4
14,5366,0.09253454477293414,39,0.2321744561195373,-0.0005587294581346214,0.4
14,3572,0.09228397221304477,40,0.2362837791442871,-0.0037158990744501352,0.4
14,4930,0.09176747500896452,41,0.1970879435539245,0.021553829312324524,0.4
14,3736,0.0914139611646533,42,0.2071087062358856,0.014284131117165089,0.4
14,5146,0.0908556070178747,43,0.2198100686073303,0.004885965958237648,0.4
14,5503,0.09071845319122077,44,0.2225483953952789,0.00283182505518198,0.4
14,4704,0.09054112695157525,45,0.2391014099121093,-0.008499061688780785,0.4
14,3724,0.09041598681360483,46,0.2254190146923065,0.0004139682278037071,0.4
14,3299,0.09014741778373715,47,0.2114156484603881,0.009301930665969849,0.4
14,3051,0.08917837310582398,48,0.2064416706562042,0.011002841405570507,0.4
14,3845,0.088589386921376,49,0.2242063581943512,-0.001821927260607481,0.4
14,4869,0.08835330903530121,50,0.2930110692977905,-0.04808519780635834,0.4
2,5593,0.7308753117918968,1,0.4044366776943207,0.788482129573822,0.15
2,5585,0.6441470548510552,2,0.44802126288414,0.6787574887275696,0.15
2,5512,0.6374134182929992,3,0.4435956478118896,0.6716165542602539,0.15
2,3572,0.6266109481453895,4,0.4910363256931305,0.6505358815193176,0.15
2,3844,0.5823563456535339,5,0.5855506062507629,0.5817926526069641,0.15
2,5392,0.571337354183197,6,0.4730223417282104,0.5886870622634888,0.15
2,5393,0.5424700170755385,7,0.5272531509399414,0.5451553463935852,0.15
2,5198,0.5345450833439827,8,0.4500161111354828,0.5494619607925415,0.15
2,5581,0.5202767446637153,9,0.4121120274066925,0.5393646359443665,0.15
2,5510,0.5018042713403701,10,0.4937806725502014,0.5032202005386353,0.15
2,3775,0.49526682198047633,11,0.4245563149452209,0.5077451467514038,0.15
2,3596,0.4752543285489082,12,0.4243448376655578,0.4842383563518524,0.15
2,4673,0.46580643206834793,13,0.5119500160217285,0.4576634466648102,0.15
2,4462,0.46457880437374116,14,0.4657422006130218,0.46437349915504456,0.15
2,5081,0.4483198717236519,15,0.4235738515853882,0.4526868164539337,0.15
